,ticker,name_en,category,sub_category,name_cn
307,327,PAX GLOBAL,Equity,Equity Securities (Main Board),百富環球
308,328,ALCO HOLDINGS,Equity,Equity Securities (Main Board),ALCO HOLDINGS
309,329,OCI INTL,Equity,Equity Securities (Main Board),東建國際
310,330,ESPRIT HOLDINGS,Equity,Equity Securities (Main Board),思捷環球
311,331,FSE ENGINEERING,Equity,Equity Securities (Main Board),豐盛機電
312,332,YUANHENG GAS,Equity,Equity Securities (Main Board),元亨燃氣
313,333,TOP FORM INT'L,Equity,Equity Securities (Main Board),黛麗斯國際
314,334,CH DISPLAY OPT,Equity,Equity Securities (Main Board),華顯光電
315,335,UPBEST GROUP,Equity,Equity Securities (Main Board),美建集團
316,336,HUABAO INTL,Equity,Equity Securities (Main Board),華寶國際
317,337,GREENLAND HK,Equity,Equity Securities (Main Board),綠地香港
318,338,SHANGHAI PECHEM,Equity,Equity Securities (Main Board),上海石油化工股份
319,339,EARNEST INV,Equity,Investment Companies,安利時投資
320,340,CHINA MINING,Equity,Equity Securities (Main Board),中國礦業
321,341,CAFE DE CORAL H,Equity,Equity Securities (Main Board),大家樂集團
322,342,NEWOCEAN ENERGY,Equity,Equity Securities (Main Board),新海能源
323,343,CULTURECOM HOLD,Equity,Equity Securities (Main Board),文化傳信
324,345,VITASOY INT'L,Equity,Equity Securities (Main Board),VITASOY INT'L
325,346,YANCHANG PETRO,Equity,Equity Securities (Main Board),延長石油國際
326,347,ANGANG STEEL,Equity,Equity Securities (Main Board),鞍鋼股份
327,348,CHINAHEALTHWISE,Equity,Equity Securities (Main Board),中國智能健康
328,351,ASIA ENERGY LOG,Equity,Equity Securities (Main Board),亞洲能源物流
329,352,FORTUNE SUN,Equity,Equity Securities (Main Board),富陽
330,353,ENERGY INTINV,Equity,Equity Securities (Main Board),能源國際投資
331,354,CHINASOFT INT'L,Equity,Equity Securities (Main Board),中國軟件國際
332,355,CENTURY C INT'L,Equity,Equity Securities (Main Board),世紀城市國際
333,356,DT CAPITAL,Equity,Investment Companies,鼎立資本
334,357,HNA INFRA,Equity,Equity Securities (Main Board),航基股份
335,358,JIANGXI COPPER,Equity,Equity Securities (Main Board),江西銅業股份
336,359,HAISHENG JUICE,Equity,Equity Securities (Main Board),海升果汁
337,360,NEW FOCUS AUTO,Equity,Equity Securities (Main Board),新焦點
338,361,SINO GOLF HOLD,Equity,Equity Securities (Main Board),順龍控股
339,362,C ZENITH CHEM,Equity,Equity Securities (Main Board),中國天化工
340,363,SHANGHAI IND H,Equity,Equity Securities (Main Board),上海實業控股
341,364,PING SHAN TEA,Equity,Equity Securities (Main Board),坪山茶業
342,365,UNIS HOLDINGS,Equity,Equity Securities (Main Board),紫光控股
343,366,LUKS GROUP (VN),Equity,Equity Securities (Main Board),陸氏集團（越南）
344,367,CHUANG'S INT'L,Equity,Equity Securities (Main Board),莊士機構國際
345,368,SINOTRANS SHIP,Equity,Equity Securities (Main Board),中外運航運
346,369,WING TAI PPT,Equity,Equity Securities (Main Board),永泰地產
347,370,CHINA BEST,Equity,Equity Securities (Main Board),國華
348,371,BJ ENT WATER,Equity,Equity Securities (Main Board),北控水務集團
349,372,PT INTL DEV,Equity,Equity Securities (Main Board),保德國際發展
350,373,ALLIED GROUP,Equity,Equity Securities (Main Board),聯合集團
351,374,FOUR SEAS MER,Equity,Equity Securities (Main Board),四洲集團
352,375,YGM TRADING,Equity,Equity Securities (Main Board),YGM TRADING
353,376,YUNFENG FIN,Equity,Equity Securities (Main Board),雲鋒金融
354,377,HUAJUN HOLD,Equity,Equity Securities (Main Board),華君控股
355,378,FDG KINETIC,Equity,Equity Securities (Main Board),五龍動力
356,379,EG LEASING,Equity,Equity Securities (Main Board),恒嘉融資租賃
357,380,SOFTPOWER INT,Equity,Equity Securities (Main Board),冠力國際
358,381,KIU HUNG INT'L,Equity,Equity Securities (Main Board),僑雄國際
359,382,WELLING HOLDING,Equity,Equity Securities (Main Board),威靈控股
360,383,CHINA MED&HCARE,Equity,Equity Securities (Main Board),中國醫療網絡
361,384,CHINA GAS HOLD,Equity,Equity Securities (Main Board),中國燃氣
362,385,CHINNEY ALLI,Equity,Equity Securities (Main Board),建聯集團
363,386,SINOPEC CORP,Equity,Equity Securities (Main Board),中國石油化工股份
364,387,LEEPORT(HOLD),Equity,Equity Securities (Main Board),力豐（集團）
365,388,HKEX,Equity,Equity Securities (Main Board),香港交易所
366,389,TONTINE WINES,Equity,Equity Securities (Main Board),通天酒業
367,390,CHINA RAILWAY,Equity,Equity Securities (Main Board),中國中鐵
368,391,MEI AH ENTER,Equity,Equity Securities (Main Board),美亞娛樂資訊
369,392,BEIJING ENT,Equity,Equity Securities (Main Board),北京控股
370,393,GLORIOUS SUN,Equity,Equity Securities (Main Board),旭日企業
